REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010-03-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.4,,,,1
2010-03-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,85.8,,,,1
2010-03-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,90.9,E,,,1
2010-04-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.6,,,,1
2010-04-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.0,,,,1
2010-04-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.0,E,,,1
2010-05-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.9,,,,1
2010-05-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.4,,,,1
2010-05-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.2,E,,,1
2010-06-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.0,,,,1
2010-06-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.6,,,,1
2010-06-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.2,E,,,1
2010-07-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.9,,,,1
2010-07-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,86.5,,,,1
2010-07-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.0,E,,,1
2010-08-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,88.0,,,,1
